epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,628.355,0.94066,0.54581,1.09521,0.96675,0.96656,0.98833,0.80291,0.75613,0.44409,0.91256,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,659.59,0.93731,0.54441,1.09276,0.96289,0.96977,0.98973,0.80144,0.7462,0.42524,0.91295,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,690.93,0.93962,0.54345,1.09808,0.96099,0.97764,0.9889,0.80678,0.75279,0.42575,0.91394,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,722.2,0.9312,0.5396,1.09497,0.96908,0.96434,0.99018,0.80558,0.75862,0.43238,0.9171,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,753.522,0.94047,0.54316,1.09913,0.96378,0.98331,0.99006,0.80194,0.75664,0.43163,0.91349,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,784.943,0.93547,0.54138,1.09719,0.96576,0.97619,0.98921,0.80313,0.74653,0.42782,0.91642,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,816.238,0.93261,0.54123,1.09562,0.97031,0.9766,0.98994,0.80952,0.7433,0.42748,0.90876,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,847.579,0.9285,0.54162,1.09313,0.95924,0.97963,0.99035,0.80987,0.74016,0.43176,0.90997,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,878.823,0.92783,0.54109,1.09569,0.95901,0.9802,0.98982,0.80789,0.74641,0.43257,0.91215,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,910.201,0.92763,0.53572,1.09066,0.96868,0.96945,0.98993,0.80254,0.75436,0.43052,0.91845,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,941.493,0.92555,0.53426,1.0869,0.97116,0.97663,0.99074,0.80477,0.75263,0.43844,0.91651,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
